微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,,,,,,,,,,
J2ZyrmXia,【全国党员共捐款83.6亿元支持防疫】2月25日，党中央号召共产党员自愿捐款，支持新冠肺炎疫情防控工作。全国广大党员积极响应，踊跃捐款。据统计，全国党员自愿捐款83.6亿元。党员捐款资金上交后，主要用于慰问战斗在疫情斗争第一线的医务人员、基层干部、公安民警、社区工作者、志愿者和新闻工作者，慰问在疫情防控斗争中牺牲的干部群众家属等！人民日报的微博视频                                 ,,无,无,无,5/21/20 21:27,紫宝宝的Android,913,108,175,,,,,,,,,,
J2ZGSbQU5,超暖因为旁边是幼儿园，东营中石化把抽油机伪装成了长颈鹿的样子！中青网教育的微博视频  ,,无,"http://f.video.weibocdn.com/KC5R9Oa1lx07DpJz7Gg8010412009RnQ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622346509&ssig=tPpelXUajQ&KID=unistore,video",无,5/21/20 21:48,紫宝宝的Android,2321,231,336,,,,,,,,,,
J2ZIcA86F,十三届全国人大三次会议议程↓  原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gf0etwfq48j30a213hn0f.jpg,无,无,5/21/20 21:51,紫宝宝的Android,1371,245,249,,,,,,,,,,
J33w05o4B,【张业遂：中方绝不接受任何烂诉和索赔要求】十三届全国人大三次会议大会发言人张业遂21日说，新冠病毒溯源是严肃的科学问题，应由科学家和医疗专家科学探索，基于事实和证据作出科学判断。通过转嫁责任来掩盖自身问题，既不负责任，也不道德。中方绝不接受任何滥诉和索赔要求！央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/UUefSEMVlx07DrWFCfLi0104120164Uz0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346508&ssig=x6Bx3CaY7S&KID=unistore,video",无,5/22/20 7:32,紫宝宝的Android,960,735,186,,,,,,,,,,
J33WmbLke,【31省区市新增4例新冠肺炎，新增35例无症状感染者】5月21日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例4例，其中境外输入病例2例（均在四川），本土病例2例（均在吉林）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例6例，解除医学观察的密切接触者255人，重症病例与前一日持平。境外输入现有确诊病例43例（含重症病例2例），现有疑似病例7例。累计确诊病例1711例，累计治愈出院病例1668例，无死亡病例。截至5月21日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例82例（其中重症病例8例），累计治愈出院病例78255例，累计死亡病例4634例，累计报告确诊病例82971例，现有疑似病例7例。累计追踪到密切接触者741344人，尚在医学观察的密切接触者4958人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者35例（无境外输入）；当日无转为确诊病例；当日解除医学观察45例（境外输入3例）；尚在医学观察无症状感染者365例（境外输入26例）。累计收到港澳台地区通报确诊病例1549例。其中，香港特别行政区1063例（出院1029例，死亡4例），澳门特别行政区45例（出院45例），台湾地区441例（出院407例，死亡7例）。                  原图                             ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gf0xiqkf6nj30u03patzm.jpg,无,无,5/22/20 8:37,紫宝宝的Android,177,59,52,,,,,,,,,,
J3453a1NH,#两会#【直播！#十三届全国人大三次会议开幕#】今天，十三届全国人大三次会议在人民大会堂开幕，国务院总理李克强作政府工作报告。@央视新闻 全程直播，总台多路记者直击会场内外，带来最权威最新鲜的两会报道。关注！ 央视新闻的微博视频 .  ,,无,"http://f.video.weibocdn.com/yskgwfMalx07DsRRqDOM0104120Qqfp50E0j0.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346497&ssig=iWIsDAWBIh&KID=unistore,video",无,5/22/20 8:58,紫宝宝的Android,572,140,121,,,,,,,,,,
J34kE0wqi,【2020没有提出全年经济增速具体目标】为什么2020没提出全年经济增速目标？ 主要因为全球疫情和经贸形势不确定性很大，我国发展面临一些难以预料的影响因素。这样做，有利于引导各方面集中精力抓好“六稳”、“六保”！ 人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/Uudn5qsklx07DsFHvzt601041200sLEi0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346496&ssig=4p2GD0UKpt&KID=unistore,video",无,5/22/20 9:37,紫宝宝的Android,402,42,54,,,,,,,,,,
J351pr3zi,【坚决反对和遏制台独分裂行径】李克强：我们要坚持对台工作大政方针，坚决反对和遏制“台独”分裂行径！央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/b0NkW3hVlx07DsHQ0Y9i010412005eZL0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346494&ssig=0deJNMGwNH&KID=unistore,video",无,5/22/20 11:22,紫宝宝的Android,1709,238,212,,,,,,,,,,
J35anbCW5,"【全国人大代表黎霞：建议离婚过错方少分或不分财产】日前，全国人大代表黎霞建议在民法典草案中增加""在离婚分割夫妻共同财产时，有过错方可以少分或者不分""内容。黎霞称，司法实践中，离婚过错方实际承担损害赔偿责任往往难以弥补其对无过错方所造成的伤害，也导致对过错方的惩罚过低，不利于遏制此种严重妨碍家庭稳定的行为！（人民法院报）                  原图                             ",,http://wx4.sinaimg.cn/large/005Y2yg1ly1gf0uz0algsj30qo0fzgmn.jpg,无,无,5/22/20 11:44,紫宝宝的Android,2928,134,499,,,,,,,,,,
J35tJfM5F,【政府工作报告完整版视频来了】今天上午，十三届全国人大三次会议在人民大会堂开幕，国务院总理李克强代表国务院作政府工作报告。收藏↓↓人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/WsR1dgQClx07DsLWmghW0104120dOsBh0E050.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346486&ssig=2zRPHbERQ8&KID=unistore,video",无,5/22/20 12:32,紫宝宝的Android,2583,641,243,,,,,,,,,,
J36aKlpwc,张业遂：对待中美关系，中国不惹事，但也不怕事，将坚定不移捍卫自身主权、安全和发展利益！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/SD4shKaElx07DrXF8ApW01041200Up6p0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346485&ssig=24DzQfvVQw&KID=unistore,video",无,5/22/20 14:18,紫宝宝的Android,714,102,98,,,,,,,,,,
J36mWrt3x,【严重挑战一国两制原则底线行为必须制止惩治】受全国人大常委会委托，全国人大常委会副委员长王晨作关于《全国人民代表大会关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定（草案）》的说明。看视频↓不要低估中央处理香港问题的决心！速扩周知！#两会#央视新闻的微博视频  ,,无,无,无,5/22/20 14:48,紫宝宝的Android,2700,952,482,,,,,,,,,,
J36Y4prSM,张业遂：建立健全香港维护国家安全的制度机制完全必要！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/zah2fh6Dlx07DrVmq1vy010412006hXw0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346483&ssig=8EtejwdzGK&KID=unistore,video",无,5/22/20 16:19,紫宝宝的Android,535,48,72,,,,,,,,,,
J37lmoD26,【农业农村部部长：生猪价格连续13周下降】猪肉最近确实价格下降了，批发市场已经连续13周小幅下降，比最高的时候下降了23%，大体下降了每公斤12元！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/iDiQ6Fj7lx07DsOb3azC01041200cbxC0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346482&ssig=MGU74BLWT%2F&KID=unistore,video",无,5/22/20 17:17,紫宝宝的Android,386,44,144,,,,,,,,,,
J37wKn0Ll,梁振英：不要低估中央处理香港问题的决心！央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/aDG6gPoflx07DsD4ur9m010412002djp0E010.mp4?label=mp4_hd&template=480x708.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622346479&ssig=2ksUWzcg5F&KID=unistore,video",无,5/22/20 17:45,紫宝宝的Android,2257,209,175,,,,,,,,,,
J37Sza97J,【林郑月娥表示支持全国人大审议涉港草案】今天，对于全国人民代表大会审议《全国人民代表大会关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定（草案）》，林郑月娥表示：鉴于香港特别行政区面临的国家安全局势日趋严峻，而特区行政立法机关难以在一段可见时间内自行完成维护国家安全有关的立法，特区政府支持全国人大审议从国家层面建立健全香港特区维护国家安全的法律制度和执行机制的《决定》。《决定》通过后，香港特区政府将全力配合全国人大常委会尽快完成有关立法！（央视）                  原图                             ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gf1dluslohj30gp0mun0m.jpg,无,无,5/22/20 18:39,紫宝宝的Android,3501,110,162,,,,,,,,,,
J37ZFqWNN,【习近平参加内蒙古代表团审议】22日下午，中共中央总书记、国家主席、中央军委主席习近平参加他所在的十三届全国人大三次会议内蒙古代表团审议！央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/xgQDxtPIlx07DtbQ7Gjm010412007o1o0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346473&ssig=UNdq4Pv3xE&KID=unistore,video",无,5/22/20 18:56,紫宝宝的Android,912,71,80,,,,,,,,,,
J38dOq4lW,【赵立坚用三个坚定不移回击美涉港言论】美国总统特朗普近日表示，如果中国通过香港立法，美国将会强烈反对。中国外交部发言人赵立坚表示，香港特区维护国家安全立法的问题纯属中国内政，任何外国无权干预。中国政府维护国家主权、安全、发展利益的决心坚定不移，贯彻“一国两制”方针的决心坚定不移，反对任何外部势力干预香港事务的决心坚定不移！央视新闻的微博视频                                 ,,无,无,无,5/22/20 19:31,紫宝宝的Android,1309,194,151,,,,,,,,,,
J38EgrLHG,【乱港头目黎智英申请离港被拒：此前多次申请均被否】据港媒报道，目前有4宗刑事案件在身的黎智英，22日早到香港高等法院申请更改保释条件，希望法官批准他在保释期间离港。不过，法官表示黎智英没有提供具体离港的计划，很难作出考虑，随后黎智英一方决定暂时搁置申请！海客新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/V7dQeVqilx07DsZganEA01041200uo7f0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346465&ssig=BYLqaaMMr0&KID=unistore,video",无,5/22/20 20:36,紫宝宝的Android,1889,170,246,,,,,,,,,,
J39dE8p1w,【点赞！修空调小哥徒手爬楼救下6楼被困女孩】今天，四川自贡富顺县某小区，一名小女孩被困六楼窗外，无法动弹。此时，一名修空调的小哥徒手爬上六楼，赶在消防到来前将孩子救下。目击者说，小哥不愿透露姓名，救完人就走了。为小哥点赞，也提醒家长务必看好孩子！时间视频的微博视频  ,,无,"http://f.video.weibocdn.com/XzwTF9KNlx07DrtOuems01041200mrYW0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622346464&ssig=5bzB5ARjz7&KID=unistore,video",无,5/22/20 22:03,紫宝宝的Android,2041,134,199,,,,,,,,,,
J39OonjFv,【陈薇团队新冠疫苗最新试验结果：安全，能诱导免疫反应】据@柳叶刀TheLancet 消息，国际学术期刊《柳叶刀》22日在线发表研究论文，指出首个1期临床试验COVID-19疫苗是安全的，且耐受性良好，并能在人体内产生针对SARS-CoV-2的免疫应答。本试验是在108名健康成年人中进行的开放标签试验，在28天后显示出了有希望的结果，最终结果将在6个月内进行评估。但仍需要进一步的试验来确定免疫反应是否能有效预防SARS-CoV-2感染。                  原图                             ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gf1nfjb6g0j30qo0zktew.jpg,无,无,5/22/20 23:34,紫宝宝的Android,2949,1221,277,,,,,,,,,,
J3daUcDOI,【当熊孩子看到妈妈戴口罩】又抓又亲！网友：“让我来承受这委屈吧！”iPanda熊猫频道的微博视频早安！  ,,无,"http://f.video.weibocdn.com/004kT9MDgx07DjeqsI0o01041200oRmT0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622346457&ssig=QeLRwwBuK1&KID=unistore,video",无,5/23/20 8:07,紫宝宝的Android,1868,265,264,,,,,,,,,,
J3dob5wBt,【31省区市0新增确诊病例】5月22日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告无新增确诊病例；无新增死亡病例；新增疑似病例2例，其中境外输入病例1例（在上海），本土病例1例（在吉林）。　　当日新增治愈出院病例3例，解除医学观察的密切接触者252人，重症病例增加1例。　　境外输入现有确诊病例41例（含重症病例2例），现有疑似病例5例。累计确诊病例1711例，累计治愈出院病例1670例，无死亡病例。　　截至5月22日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例79例（其中重症病例9例），累计治愈出院病例78258例，累计死亡病例4634例，累计报告确诊病例82971例，现有疑似病例6例。累计追踪到密切接触者741696人，尚在医学观察的密切接触者5085人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者28例（境外输入2例）；当日无转为确诊病例；当日解除医学观察23例（境外输入2例）；尚在医学观察无症状感染者370例（境外输入26例）。　　累计收到港澳台地区通报确诊病例1551例。其中，香港特别行政区1065例（出院1029例，死亡4例），澳门特别行政区45例（出院45例），台湾地区441例（出院408例，死亡7例）。                  原图                             ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gf23855nmaj30u03m67ux.jpg,无,无,5/23/20 8:40,紫宝宝的Android,240,27,58,,,,,,,,,,
J3dJd787d,"【特朗普说我戴口罩了但不想你们看到】当地21日，美国总统特朗普视察密歇根州福特工厂时，仍未戴口罩。当被记者追问时，特朗普自称在镜头外曾戴口罩，""我不想让媒体看到我因戴口罩而快乐""。密歇根州总检察长称，如果特朗普不戴口罩，他将不能再进入密歇根州任何未封闭设施…央视新闻的微博视频  ",,无,"http://f.video.weibocdn.com/7VGSld26lx07Dtyg491K01041200woSl0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346450&ssig=IizHZRYfky&KID=unistore,video",无,5/23/20 9:32,紫宝宝的Android,1023,211,257,,,,,,,,,,
J3e2A1UUs,【小天使，谢谢你来过！1岁女孩脑死亡捐肾脏救2人】近日，广西贵港一名1岁10个月的小女孩小冰，不幸因病去世。经过考虑，小冰的家长决定将其肾脏捐献，让孩子以另一种方式重生。目前，小冰的左、右供肾已被分别移植给两名成年患者，两人都已出院。致敬，送别！星视频的微博视频  ,,无,"http://f.video.weibocdn.com/001aKFCVgx07Dqnvnxf101041200emq70E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622346449&ssig=YoRDkQLaCl&KID=unistore,video",无,5/23/20 10:20,紫宝宝的Android,1088,85,204,,,,,,,,,,
J3erfeysF,【雷霆玫瑰！空降女兵跳伞前一分钟画面】经过严格训练，空降兵某旅新训女兵迎来了人生中首次大飞机升空跳伞，他们的平均年龄还不到20岁。网友：了不起的妹妹们，加油！解放军报的微博视频  ,,无,"http://f.video.weibocdn.com/aMPmZFZblx07Dr4LmXUA01041200zYvg0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622346449&ssig=wlbjs0bEwt&KID=unistore,video",无,5/23/20 11:20,紫宝宝的Android,1250,127,204,,,,,,,,,,
J3eVIf5v1,"【广电总局要求停播""减肥传奇瘦身贴""等违规广告】广电总局发布通知：""减肥传奇瘦身贴""""刮油汤""""少林开骨方""等版本广告，存在宣传治愈率有效率、以医患等形象做疗效证明、以节目形态变相发布广告等问题。各级广播电视播出机构立即停播上述广告，清查所有在播和拟播广告，凡存在类似违规问题的一律禁播！  原图 ",,http://wx1.sinaimg.cn/large/005Y2yg1ly1gf2878n7nwj30qo0o4gp3.jpg,无,无,5/23/20 12:36,紫宝宝的Android,1058,56,208,,,,,,,,,,
J3fdF4DZe,【全国政协委员：建议增设火车青年票，可按票面价格70%优惠购票】全国政协委员、民进上海市委专职副主委胡卫表示，无收入的12-22岁的未成年人及青年旅行时，除符合学生票条件一年4次特殊旅程外，基本上没有任何优惠。他认为，有必要仿效其他国家，增设火车青年票等优惠票种。16-22岁（含）的青年乘坐火车出行的，可按票面价格的70%优惠购票，不受区间限制！图/人民日报                  原图                             ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gf2bbd1h8ej30j50rawhp.jpg,无,无,5/23/20 13:20,紫宝宝的Android,1282,73,382,,,,,,,,,,
J3g0teQeI,"【审议现场 人大代表张伯礼哭了】还记得曾笑称""肝胆相照，我把胆留在武汉了""的张伯礼院士吗？昨天天津代表团全体会议审议政府工作报告时，全国人大代表、天津中医药大学校长张伯礼，回忆武汉抗疫历程，一度哽咽落泪…网友：感同身受，难忘14亿中国人携手战疫！致敬！央视新闻的微博视频  ",,无,"http://f.video.weibocdn.com/68xPBsSelx07DutoVaVy010412002Z4j0E010.mp4?label=mp4_hd&template=480x864.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622346442&ssig=xUMaPTm0Zx&KID=unistore,video",无,5/23/20 15:20,紫宝宝的Android,3172,332,325,,,,,,,,,,
J3gq8sYxA,【巴西确诊病例超33万 仅次于美国】巴西卫生部22日数据显示，巴西新冠肺炎确诊病例累计达到330890例，新增死亡病例1001例，累计死亡21048例。据路透社，目前巴西已经成为仅次于美国的全球第二大疫情“重灾区”！http://t.cn/A624Y7d3  ,,无,无,无,5/23/20 16:23,紫宝宝的Android,694,188,99,,,,,,,,,,
J3gE8fYx0,【百余委员：建议把体育列入中高考必考科目】日前，全国政协委员吴志明领衔提交为中小学生减负的提案，建议重新疏理制定国家教育评价体系，把体育列入中高考必考科目，并给予语文、数学等主科一样的考分权重，激发学校、家长、学生的内生动力，真正实现为中小学生松绑减负。吴志明等委员提出，加强社会宣传和对家长的引导，将孩子的身心健康排第一位， 尊重教育的规律和孩子成长的自由！图/人民日报                  原图                             ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gf2batpby9j30j50ra0vd.jpg,无,无,5/23/20 16:58,紫宝宝的Android,3418,239,763,,,,,,,,,,
J3gXg5Xep,【77名诺奖获得者联名谴责政府】美国一名为“美国生态联盟”的研究机构，4月报告称“新冠病毒起源于自然，并从动物传播到人类”后，失去联邦拨款。近日，《纽约时报》报道，77名诺奖获得者联名上书美国国家卫生研究院，直指美国将新冠疫情“政治化”“太荒谬”！@CGTN  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gf2evz5e46j30lp0klq66.jpg,无,无,5/23/20 17:45,紫宝宝的Android,963,131,91,,,,,,,,,,
J3heTtCmQ,【张伯礼建议完善传染病直报系统】张伯礼表示，我们现在的传染病法要求报告的时候是由省一级发现以后报到省，省里讨论以后报告省政府，政府决策以后再向中央来报告。这次提出要讨论修改传染病法，改成直报系统。基层发现问题以后可以直接报给省，也可以直接报中央！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/At8J9xCPlx07DuEPiDAY010412008Rum0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346436&ssig=xkQ%2FSxtIOO&KID=unistore,video",无,5/23/20 18:28,紫宝宝的Android,859,88,111,,,,,,,,,,
J3hDY0Id7,【港区政协委员联合声明支持人大涉港决定草案】22日，港区全国政协委员发表联合声明，对十三届全国人大三次会议将审议《全国人民代表大会关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定（草案）》表示坚决支持和拥护。声明强调，没有国家安全，就没有香港的繁荣稳定，在国家安全遭受严重威胁、相关法律缺失情况下，由中央出手解决香港在维护国家安全方面的突出问题，势在必行。呼吁香港广大市民为共同福祉支持这项国家立法，确保“一国两制”行稳致远！http://t.cn/A62bCmQS                                 ,,无,无,无,5/23/20 19:30,紫宝宝的Android,1850,149,155,,,,,,,,,,
J3hHC6yUu,【习近平：一定要把我们的农民扶一把】习近平5月23日上午看望了参加全国政协十三届三次会议的经济界委员，并参加联组会。在听取大家发言后，习近平说：“今年，实现我们的脱贫目标，还是有把握的。因为我们提出这个目标，它不是高不可攀的。实际上我们这一代人也有这个情结，一定要把我们的老百姓，特别是我们的农民扶一把。社会主义道路上一个也不能少啊，共同富裕！”央视新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/SlKIVtjFlx07DuVytCeI010412004xrp0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346430&ssig=WEoZbTLM5z&KID=unistore,video",无,5/23/20 19:39,紫宝宝的Android,1332,165,213,,,,,,,,,,
J3imB3SAu,"【谨防地质灾害！广东暴雨两项数据刷新历史极值】20日至22日，广东多地暴雨，局地特大暴雨，广州站部分列车延误停运。其中，广州市黄埔区1小时内最大降水量167.8毫米，东莞市东城区3小时内降雨量351毫米，两数据均刷新广东""龙舟水""期间历史极值。提醒注意防范城乡积涝、泥石流、山体滑坡等，出行注意安全！央视新闻的微博视频                                 ",,无,"http://f.video.weibocdn.com/KBz7EOUZlx07DuI62YQg01041200u80T0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346423&ssig=GGHwBLkR6z&KID=unistore,video",无,5/23/20 21:20,紫宝宝的Android,317,55,89,,,,,,,,,,
J3izwqD0Z,"【今起进入闰四月，下一次要到2058年】23日，是农历闰四月第一天。天文专家表示，""闰四月""较罕见，但属正常历法现象，一般相隔8年或11年，最长相隔38年一次。受""闰四月""影响，今年端午、七夕、重阳等农历节日的阳历对应日期比去年推迟18天。网友：农历四月出生的可过两次生日图/人民日报  原图 ",,http://wx1.sinaimg.cn/large/005Y2yg1ly1gf2pdj1djwj30n310sq7k.jpg,无,无,5/23/20 21:52,紫宝宝的Android,1058,554,289,,,,,,,,,,
J3mvY8u41,【你的腿不是腿，是快乐的体会】这无处安放的小jiojio，体重要是再轻点，是不是得上天网友：知道自己是国宝的熊猫iPanda熊猫频道的微博视频早安！  ,,无,"http://f.video.weibocdn.com/0007mxIVgx07DhzrXtrW010412006stY0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622346416&ssig=AjkyGyBAXl&KID=unistore,video",无,5/24/20 7:54,紫宝宝的Android,2413,584,503,,,,,,,,,,
J3mPn8Tr1,【31省区市新增3例确诊，其中2例为境外输入病例】5月23日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例3例，其中境外输入病例2例（上海1例，广东1例），本土病例1例（在吉林）；无新增死亡病例；新增疑似病例3例，均为境外输入病例（均在内蒙古）。　　当日新增治愈出院病例3例，解除医学观察的密切接触者280人，重症病例减少1例。　　境外输入现有确诊病例40例（含重症病例1例），现有疑似病例8例。累计确诊病例1713例，累计治愈出院病例1673例，无死亡病例。　　截至5月23日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例79例（其中重症病例8例），累计治愈出院病例78261例，累计死亡病例4634例，累计报告确诊病例82974例，现有疑似病例9例。累计追踪到密切接触者742045人，尚在医学观察的密切接触者5154人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者36例（境外输入4例）；当日无转为确诊病例；当日解除医学观察35例（境外输入2例）；尚在医学观察无症状感染者371例（境外输入28例）。　　累计收到港澳台地区通报确诊病例1551例。其中，香港特别行政区1065例（出院1029例，死亡4例），澳门特别行政区45例（出院45例），台湾地区441例（出院411例，死亡7例）。                  原图                             ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gf38wi2qdoj30u03omb1u.jpg,无,无,5/24/20 8:42,紫宝宝的Android,215,37,51,,,,,,,,,,
J3n2GqaEj,【澳门特区政府发文支持全国人大涉港决定】①澳门特区政府坚决支持。②澳门已在2009年初完成维护国家安全本地立法，制定《维护国家安全法》。③2018年，特区政府成立维护国家安全事务机构——澳门特区维护国家安全委员会。④继续健全和完善维护国安配套立法，做好执法部署，提升居民国家安全意识水平！  原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gf39vcjxnej30oy12d44c.jpg,无,无,5/24/20 9:15,紫宝宝的Android,1588,166,184,,,,,,,,,,
J3nl7racc,【中国自己家装“防盗门”，蓬佩奥你紧张什么？】谁最看不得别人家装防盗门？肯定是盗贼本尊。中国建立完善香港的国家安全法制和机制，完全是自己家的常规安全措施，只针对分裂国家、颠覆政权、恐怖主义、外部干预等几类行为，这些都是各国保障国家安全的“基本配置”，尚未达到美国那般“铜墙铁壁”。请问蓬佩奥先生，这几条美国干了哪件、还想干哪件？如果美国不是准备干这几件事，你有什么好紧张的？文/人民日报                  原图                             ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gf37rq95kpj30u069bx6p.jpg,无,无,5/24/20 10:00,紫宝宝的Android,2075,242,229,,,,,,,,,,
J3nuGtWPU,【中国第一个国家公园来了！今年年底前正式设立】据悉，三江源国家公园将于今年年底前正式设立，将成为中国第一个国家公园。青海省南部的三江源是长江、黄河、澜沧江的发源地，是中国重要生态安全屏障！http://t.cn/A624W1bv  ,,无,无,无,5/24/20 10:24,紫宝宝的Android,1045,323,212,,,,,,,,,,
J3o85xwVU,"【于殿利委员：明星要为自身言行负责】全国政协委员、商务印书馆总经理于殿利谈到""追星""问题时称，模仿榜样是人的天性，明星曝光率高，很容易被模仿。所以作为明星，一定要特别注重自己的言行，要树立正能量言行。年轻人""追星""也要甄别什么是积极向上的，追星要为自己负责！中新视频的秒拍视频  ",,无,"http://miaopai.video.weibocdn.com/X7xErjQnlx07Dvig9NzG010412008NBm0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346398&ssig=8Evb2foU40&KID=unistore,video",无,5/24/20 12:01,紫宝宝的Android,25791,1019,960,,,,,,,,,,
J3oznwbF9,【武汉病毒研究所所长回应病毒起源阴谋论】“武汉病毒所最早是在去年的12月30号才第一次接触到（新冠病毒），当时还是叫不明原因肺炎的临床样本…在这之前我们是完全没有接触过、研究过或者保存过这种病毒。”都没有的东西，何谈泄漏？CGTN的微博视频  ,,无,无,无,5/24/20 13:08,紫宝宝的Android,2242,105,175,,,,,,,,,,
J3oQVwAin,"【港区政协委员建议彻底铲除港独生存土壤】全国政协委员屠海鸣：香港回归23年，但""港独""言论仍有一定市场。①香港中小学国民教育被严重妖魔化，建议推动国民教育工作落实落地；②尽快落实本地法律与基本法衔接工作；③更大力度推进香港与内地深度融合；④壮大爱国爱港舆论阵地！央视新闻的微博视频  ",,无,"http://f.video.weibocdn.com/iXIg2Dgvlx07Dw0YOSx201041201eqHU0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622346396&ssig=C4V60CIRDd&KID=unistore,video",无,5/24/20 13:51,紫宝宝的Android,1531,209,178,,,,,,,,,,
