日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年11月12日23点数据,今年已查处5000多名非法入境外籍人员,309866,社会热点-社会热点,,,,,
2020年04月13日11点数据,发现无症状感染者应该怎么做,121181,社会热点-社会热点,,,,,
2020年07月10日23点数据,Puff寒冰,440393,软新闻-娱乐圈,,,,,
2020年05月06日11点数据,QQ邮箱崩了,873995,社会热点-社会热点,,,,,
2020年10月29日11点数据,灿白,326183,软新闻-休闲,,,,,
2019年12月08日23点数据,夏之光衣服扣子崩开了,1066471,软新闻-娱乐圈,,,,,
2019年12月07日11点数据,涉性别歧视中小学资料被回收,774869,社会热点-社会热点,,,,,
2020年01月14日11点数据,梦真的是反的,197826,软新闻-休闲,,,,,
2019年11月23日11点数据,彭小苒演的紫霞,194235,软新闻-娱乐圈,,,,,
2020年05月06日11点数据,是你激我出王炸的,4019754,软新闻-休闲,,,,,
2020年02月04日23点数据,达芦那韦,218894,软新闻-休闲,,,,,
2020年07月09日11点数据,广汉鞭炮厂爆炸,200503,社会热点-社会热点,,,,,
2020年12月23日11点数据,汪海林谈抵制于正郭敬明,344763,软新闻-娱乐圈,,,,,
2020年01月15日11点数据,我国每万人发明专利拥有量达到13.3件,103619,软新闻-休闲,,,,,
2020年12月09日23点数据,张一鸣在游戏群批员工上班时聊游戏,344093,软新闻-休闲,,,,,
2020年01月22日11点数据,协和医院骨科医生自愿支援,1314736,社会热点-社会热点,,,,,
2020年08月26日23点数据,唐灿妈妈,492687,软新闻-娱乐圈,,,,,
2020年03月15日11点数据,央视播出重症病例救治纪实,783557,社会热点-社会热点,1,,,,
2020年04月02日23点数据,湖北14名牺牲人员被评为首批烈士,431144,社会热点-社会热点,,,,,
2020年09月14日23点数据,李光洙唱阿卡贝拉,408441,软新闻-娱乐圈,,,,,
2020年05月14日11点数据,对丰巢说不的上海小区已达116个,1551876,社会热点-社会热点,,,,,
2020年04月10日11点数据,罗永浩公益助农湖北,1363003,软新闻-娱乐圈,,,,,
2020年04月21日11点数据,头像的重要性有多大,290736,软新闻-休闲,,,,,
2020年06月10日23点数据,四川人对美食的最高评价,169321,软新闻-休闲,,,,,
2020年05月12日23点数据,影子在公主脚下 怀吉在徽柔心里,883175,软新闻-休闲,,,,,
2020年05月08日11点数据,河北7月18日至19日中考,263268,社会热点-社会热点,,,,,
2020年03月20日23点数据,德国一学校5名中国学生确诊,1186905,国际关系（与中国相关，非美国）,,,,,
2020年11月19日23点数据,TVB台庆,943779,软新闻-休闲,,,,,
2020年08月30日11点数据,大胃王mini,391702,软新闻-娱乐圈,,,,,
2020年01月01日23点数据,杜富国熟练使用平板电脑与战友视频,213298,软新闻-休闲,,,,,
2020年12月15日11点数据,百香果女童母亲再发声,352107,软新闻-娱乐圈,,,,,
2020年06月08日11点数据,华晨宇和左立轧马路喝啤酒,241451,软新闻-娱乐圈,,,,,
2020年09月12日11点数据,护考,266718,社会热点-社会热点,,,,,
2019年11月25日11点数据,金希澈ins,195480,软新闻-娱乐圈,,,,,
2020年04月05日11点数据,世卫组织建议各国重点关注三个领域,653115,软新闻-休闲,,,,,
2020年11月21日23点数据,山东被虐致死女子生前遭软禁,1455000,社会热点-社会热点,,,,,
2020年06月08日11点数据,越长大越不会与人相处交流,228023,软新闻-休闲,,,,,
2019年12月03日11点数据,2020元旦火车票开售,1933312,社会热点-社会热点,,,,,
2020年01月20日11点数据,春节尬聊变畅聊,1722926,软新闻-休闲,,,,,
2020年10月15日23点数据,武汉动物园火烈鸟排队打疫苗,339936,社会热点-社会热点,1,,,,
2020年08月01日23点数据,乐队的夏天,444096,软新闻-娱乐圈,,,,,
2020年09月10日23点数据,美丽背后更美丽,2124255,软新闻-娱乐圈,,,,,
2019年11月25日11点数据,冰雪奇缘片尾 宝宝名单,546899,软新闻-娱乐圈,,,,,
2020年07月07日11点数据,美国新冠确诊超291万,141113,国际新闻-国际新闻（与中国无关）,1,,,,
2020年07月24日11点数据,美国确诊新冠新增100万人只用了15天,314541,国际新闻-国际新闻（与中国无关）,1,,,,
2020年08月06日11点数据,黎巴嫩爆炸致30万人流离失所,538299,国际新闻-国际新闻（与中国无关）,,,,,
2019年11月18日11点数据,情侣三观不合有多恐怖,206976,软新闻-休闲,,,,,
2020年08月25日11点数据,丽江被抱走男孩被解救,94347,软新闻-休闲,,,,,
2020年08月14日11点数据,贺子秋式直男,818430,软新闻-娱乐圈,,,,,
2019年11月25日11点数据,具荷拉,542873,软新闻-娱乐圈,,,,,
2020年08月21日11点数据,郑云龙,1697238,软新闻-娱乐圈,,,,,
2019年12月09日23点数据,金球奖提名名单,189943,社会热点-社会热点,,,,,
2020年10月30日23点数据,周震南,2081828,软新闻-娱乐圈,,,,,
2020年02月23日23点数据,新闻联播,612725,软新闻-娱乐圈,,,,,
2020年04月20日23点数据,安徽开学时间,381749,社会热点-社会热点,,,,,
2019年11月20日11点数据,紫薇容嬷嬷同框,313999,软新闻-娱乐圈,,,,,
2020年03月10日11点数据,呼吁在京外籍人士尽量减少不必要出行,543339,社会热点-社会热点,,,,,
2020年10月16日23点数据,金鹰节开幕式晚会,576670,软新闻-娱乐圈,,,,,
2020年12月08日11点数据,桂林七星公园捕杀猕猴,247120,社会热点-社会热点,,,,,
2020年03月16日23点数据,毛不易 什么是忙内,1481641,软新闻-娱乐圈,,,,,
2020年01月09日11点数据,360年会特等奖为免裁券,82675,软新闻-休闲,,,,,
2020年04月22日11点数据,连云港化工厂爆炸,154685,社会热点-社会热点,,,,,
2020年03月09日11点数据,纽约iPhone11库存即将售罄,163338,软新闻-休闲,,,,,
2020年08月21日23点数据,中餐厅,184839,软新闻-休闲,,,,,
2020年03月15日23点数据,清零后医护接力展示空病房,289428,社会热点-社会热点,,,,,
2020年06月27日11点数据,张艺兴 哪能出好苗子啊,181667,软新闻-休闲,,,,,
2020年04月23日11点数据,主人让狗坐在车顶,158700,社会热点-社会热点,,,,,
2020年09月27日23点数据,刘丧废了一只耳朵,1360390,软新闻-娱乐圈,,,,,
2019年12月20日23点数据,刘鑫改名,1430702,软新闻-娱乐圈,,,,,
2020年11月07日23点数据,王楚然好适合南湘,1510293,软新闻-娱乐圈,,,,,
2020年11月07日23点数据,明星都不服,2830575,软新闻-娱乐圈,,,,,
2020年04月29日23点数据,朱广权神总结开学心情,513817,软新闻-休闲,,,,,
2020年01月04日23点数据,母亲为大一女儿招聘保姆,619312,软新闻-休闲,,,,,
2020年10月09日23点数据,万妮达淘汰,597664,软新闻-娱乐圈,,,,,
2020年10月26日23点数据,乳山官方回应公务员投毒事件,244564,社会热点-社会热点,,回应,,,
2019年12月22日23点数据,一通骚扰电话最高可罚款7万元,789780,软新闻-休闲,,,,,
2020年04月04日23点数据,部队官兵鸣枪悼念逝者,119369,软新闻-休闲,,,,,
2020年10月24日23点数据,唐一菲退赛,3402037,软新闻-娱乐圈,,,,,
2020年09月28日11点数据,79岁奶奶坚持健身20年,471517,社会热点-社会热点,,,,,
2020年04月22日11点数据,全球2.65亿人或面临严重粮食危机,484222,国际新闻-国际新闻（与中国无关）,,,,,
2020年07月04日11点数据,特朗普大儿子女友感染新冠病毒,175129,国际新闻-国际新闻（与中国无关）,1,,,,
2020年12月23日11点数据,张国立叫王刚和二,788001,软新闻-娱乐圈,,,,,
2020年08月21日23点数据,加满一箱油将多花3.5元,578308,社会热点-社会热点,,,,,
2020年03月15日11点数据,特朗普女儿伊万卡开始居家办公,2224087,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月05日11点数据,拜登10月4日新冠检测阴性,565217,国际新闻-国际新闻（与中国无关）,1,,,,
2020年12月27日23点数据,考研计算机408,541923,社会热点-社会热点,,,,,
2020年11月21日11点数据,郭艾伦当选CBA月度最佳球员,188436,软新闻-娱乐圈,,,,,
2020年11月24日11点数据,看到男生炫腹时的真实想法,302689,软新闻-休闲,,,,,
2020年09月18日23点数据,黄鸿升遗照,326813,软新闻-娱乐圈,,,,,
2020年10月10日11点数据,薇娅双十一爆款清单,182533,软新闻-休闲,,,,,
2020年10月27日23点数据,黄子韬想生龙凤胎,863174,软新闻-娱乐圈,,,,,
2020年06月30日11点数据,向太回应郭碧婷发文,626313,软新闻-娱乐圈,,回应,,,
2020年12月15日23点数据,时尚芭莎拉郎届翘楚,322837,软新闻-娱乐圈,,,,,
2020年01月31日11点数据,浙江新增109例新型肺炎,1289054,社会热点-趋势,,,,,
2020年08月17日23点数据,微信朋友圈可以删评论了,2176410,软新闻-休闲,,,,,
2019年12月01日23点数据,当撒贝宁被要求不能张嘴,832757,软新闻-娱乐圈,,,,,
2020年12月03日23点数据,教育部答复义务教育改为十二年制建议,605085,社会热点-社会热点,,,,,
2019年12月21日23点数据,主持人大赛,445118,软新闻-娱乐圈,,,,,
2020年12月20日23点数据,吴亦凡李雪琴合影,778264,软新闻-娱乐圈,,,,,
2020年06月16日11点数据,没有毕业照好难过,166463,软新闻-休闲,,,,,
2020年05月20日23点数据,婚姻登记处提示牌闹乌龙,388056,软新闻-休闲,,,,,
2020年10月15日23点数据,房子一塌再塌,498023,社会热点-社会热点,,,,,
2020年10月23日11点数据,霜降,627978,社会热点-社会热点,,,,,
2020年02月20日11点数据,快递业回收再使用包装箱2亿个,689278,软新闻-休闲,,,,,
2020年04月03日23点数据,脏脏瀑布提拉米苏,531888,软新闻-休闲,,,,,
2020年03月12日11点数据,美国宣布对欧洲实施旅行禁令,895291,社会政策- 政府政策,,,,,
2020年05月19日23点数据,退役军人抚恤优待政策落地见效,218468,社会热点-社会热点,,,,,
2020年10月25日11点数据,阿富汗首都自杀式爆炸袭击,233585,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月26日23点数据,菅义伟表示日本下定决心明年办奥运,490036,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月07日11点数据,男生在恋爱中作的表现,264709,软新闻-休闲,,,,,
2020年07月26日23点数据,三十而已,2291169,软新闻-娱乐圈,,,,,
2020年08月18日23点数据,张萌张月同台,1495136,软新闻-娱乐圈,,,,,
2020年09月25日11点数据,孟鹤堂 我都结婚了,153536,软新闻-娱乐圈,,,,,
2020年11月11日23点数据,凌睿告白鹿方宁,263883,软新闻-娱乐圈,,,,,
2020年08月14日11点数据,跟爷爷学穿搭,338894,软新闻-休闲,,,,,
2020年07月30日11点数据,文旅局回应郭京飞王珞丹坐景区雕塑,1248089,软新闻-休闲,,回应,,,
2020年08月16日23点数据,猫喝水总打翻水碗 换了重的玻璃碗,237673,软新闻-休闲,,,,,
2020年06月26日11点数据,美国新冠肺炎确诊超241万,220956,国际新闻-国际新闻（与中国无关）,1,,,,
2020年01月28日11点数据,新疆新增确诊5例新型肺炎,444788,社会热点-趋势,,,,,
2020年09月09日23点数据,S10参赛队伍确定,258902,软新闻-娱乐圈,,,,,
2019年11月25日23点数据,见到真人后的粉丝,268425,软新闻-休闲,,,,,
2020年06月12日23点数据,刘涛直播,166312,软新闻-娱乐圈,,,,,
2019年12月31日11点数据,张翰马天宇牵手错位图,345545,软新闻-娱乐圈,,,,,
2020年09月27日23点数据,机场水门最高礼遇迎接烈士遗骸,406998,社会热点-社会热点,,,,,
2020年07月04日23点数据,香港女童说人不爱自己的国家就没用了,904511,国际新闻-香港,,,,,
2020年08月01日23点数据,691分考入清华暑期搬砖打工,1475975,社会热点-社会热点,,,,,
2020年07月01日11点数据,香港回归真实影像,160229,国际新闻-香港,,,,,
2020年08月06日11点数据,郭艾伦违体犯规,90781,软新闻-娱乐圈,,,,,
2020年11月19日23点数据,王大陆分饰两角,310392,软新闻-娱乐圈,,,,,
2020年09月06日11点数据,被黄明昊转呼啦圈笑死,129214,软新闻-娱乐圈,,,,,
2020年10月11日11点数据,如果每月收租60万,205334,社会热点-社会热点,,,,,
2020年10月04日23点数据,吉林车祸死者多为掰苞米零工,2001600,社会热点-社会热点,,,,,
2020年09月09日11点数据,现实版的葫芦娃,302919,软新闻-休闲,,,,,
2020年12月17日11点数据,瑞幸咖啡造假案1.8亿美元达成和解,354691,社会热点-社会热点,,,,,
2020年08月04日11点数据,660多种外来物种入侵中国,523938,国际关系（与中国相关，非美国）,,,,,
2020年01月23日23点数据,小汤山非典医疗队请战书,3024679,社会热点-社会热点,,,,,
2020年09月15日11点数据,1岁半小萌娃给武警哨兵送糖果,370221,社会热点-社会热点,,,,,
2020年09月17日23点数据,原来李荣浩出道才七年,1298428,软新闻-娱乐圈,,,,,
2019年12月28日23点数据,切尔诺贝利33年后再现圣诞树,928742,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月03日23点数据,中国赴马来西亚抗疫医疗专家组回国,274071,社会热点-社会热点,1,,,,
2020年05月21日11点数据,世卫组织称超120个新冠疫苗正在开发,379115,国际新闻-国际新闻（与中国无关）,1,,,,
2020年03月22日23点数据,张伯礼院士回忆出征武汉落泪,315834,社会热点-社会热点,,,,,
2020年08月30日23点数据,陈卓璇成了气氛组,500111,软新闻-娱乐圈,,,,,
2020年10月13日23点数据,怀疑自己偷拿文物被诅咒主动归还,604088,社会热点-社会热点,,,,,
2020年09月07日23点数据,学校回应建筑高仿迪士尼,479290,软新闻-休闲,,回应,,,
2020年06月30日11点数据,虞书欣朋友圈内容被卖,3625665,软新闻-娱乐圈,,,,,
2020年03月21日11点数据,意大利军队封锁伦巴第,398875,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月30日11点数据,股市,780722,社会热点-社会热点,,,,,
2020年08月15日23点数据,李佳琦万茜雷佳音直播,1309177,软新闻-娱乐圈,,,,,
2020年12月21日11点数据,北京地铁,333787,社会热点-社会热点,,,,,
2020年08月30日11点数据,2020年退伍季来了,274542,社会热点-社会热点,,,,,
2020年02月08日11点数据,东京奥运不会因疫情取消,224920,国际新闻-国际新闻（与中国无关）,1,,,,
2020年10月08日23点数据,刘亦菲给新衣服打马赛克,1363395,软新闻-娱乐圈,,,,,
2020年06月20日11点数据,sis Say Something,382603,软新闻-娱乐圈,,,,,
2020年03月05日11点数据,花木兰特别版海报,344166,软新闻-娱乐圈,,,,,
2020年02月28日11点数据,全国美食挑战赛,224354,软新闻-娱乐圈,,,,,
2020年10月25日11点数据,郭敬明给胡杏儿S卡说我不配,141557,软新闻-娱乐圈,,,,,
2020年11月17日23点数据,萧燕燕儿子被下毒,900432,软新闻-娱乐圈,,,,,
2020年06月20日11点数据,张铭恩,642927,软新闻-娱乐圈,,,,,
2020年09月02日23点数据,在劫难逃,302619,软新闻-娱乐圈,,,,,
2020年05月19日11点数据,刘备孙尚香时之恋人,338983,软新闻-娱乐圈,,,,,
2020年02月14日11点数据,封城日记,292236,软新闻-娱乐圈,,,,,
2020年04月12日11点数据,鲍某明姐姐称弟弟和女孩非养父女,2719177,软新闻-休闲,,,,,
2020年09月02日11点数据,璇玑被逼发毒誓,82178,软新闻-娱乐圈,,,,,
2019年11月20日23点数据,交往一年以上的相处模式,480664,软新闻-休闲,,,,,
2020年12月30日11点数据,明星健康宝照片泄露漏洞已解决,639800,软新闻-娱乐圈,,,,,
2020年07月30日11点数据,北京新增大连疫情关联病例1例,135856,社会热点-趋势,1,,,,
2020年04月01日11点数据,阿水关注TES经理,747575,软新闻-娱乐圈,,,,,
2020年12月30日11点数据,西藏官兵打开矿泉水瞬间结冰,439817,社会热点-社会热点,,,,,
2020年08月01日11点数据,金晨 不进步就会被淘汰,253355,软新闻-娱乐圈,,,,,
2020年04月21日11点数据,中国对美国提供各类口罩18.64亿只,326473,国际新闻-中美关系,,,,,
2019年11月18日11点数据,LPL转会期,131576,软新闻-娱乐圈,,,,,
2020年11月03日23点数据,华为外籍副总裁去世,232533,社会热点-社会热点,,,,,
2020年12月09日11点数据,赛博朋克2077,183953,软新闻-娱乐圈,,,,,
2019年12月30日23点数据,北京首例校门口咸猪手入罪案件,402193,社会热点-社会热点,,,,,
2020年03月15日23点数据,小朋友你是否有很多问号的出处,1766861,软新闻-休闲,,,,,
2020年11月11日23点数据,美国1.5万只貂死于新冠病毒,611933,国际新闻-国际新闻（与中国无关）,1,,,,
2020年04月14日11点数据,我是余欢水,157763,软新闻-娱乐圈,,,,,
2020年02月01日11点数据,丁香园,1511074,软新闻-娱乐圈,,,,,
2020年02月09日23点数据,周婵,305718,软新闻-娱乐圈,,,,,
2020年05月29日11点数据,驻加使馆 加拿大扮演美方帮凶角色,352385,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月28日23点数据,李佳琦直播,418383,软新闻-娱乐圈,,,,,
2020年12月19日23点数据,于朦胧李泽锋嗑到了,713559,软新闻-娱乐圈,,,,,
2019年12月05日23点数据,朱婷受伤下场,484649,软新闻-娱乐圈,,,,,
2020年02月15日11点数据,湖北以外新增病例11连降,1298518,社会热点-趋势,1,,,,
2019年12月10日11点数据,大爷用诺基亚拍王嘉尔,207341,软新闻-娱乐圈,,,,,
2020年11月30日23点数据,王俊凯 少点关注我年轻的时候,3681896,软新闻-娱乐圈,,,,,
2020年09月09日23点数据,王菲状态,4194516,软新闻-娱乐圈,,,,,
2020年09月13日23点数据,日本鲸头鹳狂风暴雨中一动不动,194442,国际新闻-国际新闻（与中国无关）,,,,,
2020年07月31日11点数据,林有有恶心,205570,软新闻-娱乐圈,,,,,
2020年01月02日23点数据,精英律师剧情,237135,软新闻-娱乐圈,,,,,
2020年07月03日23点数据,涂防晒霜有多重要,467863,软新闻-休闲,,,,,
2020年04月24日23点数据,柯洁,1436246,软新闻-娱乐圈,,,,,
2020年02月12日23点数据,新冠肺炎夫妻通过视频见到宝宝,998766,社会热点-趋势,1,,,,
2020年03月10日23点数据,当父母熟练使用表情包后,555345,软新闻-休闲,,,,,
2019年11月22日23点数据,艾莎太美了,1965625,软新闻-娱乐圈,,,,,
2020年04月22日11点数据,中国银行暂停客户原油宝新开仓交易,750000,社会热点-社会热点,,,,,
2019年11月17日23点数据,新一轮降温冻到发紫,642212,软新闻-休闲,,,,,
2020年04月27日23点数据,徐姨娘 Ning,319197,软新闻-娱乐圈,,,,,
2020年05月28日23点数据,Knight艾克秒杀Faker沙皇,707567,软新闻-娱乐圈,,,,,
2020年05月20日11点数据,巴勒斯坦停止履行与美国以色列所有协议,821834,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月16日23点数据,北京早间地铁视情况限流,408071,社会热点-社会热点,,,,,
2020年12月11日11点数据,猎鹰与冬兵预告,180975,软新闻-娱乐圈,,,,,
2020年04月06日23点数据,北京室内景区暂不开放,670243,软新闻-休闲,,,,,
2020年04月27日23点数据,美少女战士妆,368730,软新闻-休闲,,,,,
2020年06月30日11点数据,警方通报四名儿童划花45辆车,114436,社会热点-社会热点,,,,,
2020年07月29日11点数据,31省区市新增确诊101例,151592,社会热点-趋势,,,,,
2020年11月21日23点数据,湖南给中小学教师减负,960075,软新闻-休闲,,,,,
2020年12月10日11点数据,迪丽热巴秋波春黛大片,249592,软新闻-娱乐圈,,,,,
2020年02月11日23点数据,地心引力,2023575,软新闻-休闲,,,,,
2020年09月19日23点数据,马伯骞帮程潇拿了一拖车快递,267914,软新闻-娱乐圈,,,,,
2020年08月10日11点数据,青海网红公路因拍照发生8起交通事故,183715,社会热点-社会热点,,,,,
2020年01月05日23点数据,被偷过最无语的东西,244804,软新闻-休闲,,,,,
2020年01月15日11点数据,坚持每天自拍20年,625782,软新闻-休闲,,,,,
2020年11月22日11点数据,李亚鹏新恋情,123286,软新闻-娱乐圈,,,,,
2020年10月01日11点数据,十月你好,145293,软新闻-娱乐圈,,,,,
2020年11月01日11点数据,今年双十一快递有多快,337492,软新闻-休闲,,,,,
2020年01月09日11点数据,王者荣耀更新,278155,软新闻-娱乐圈,,,,,
2020年09月01日23点数据,沈腾拒绝李汶翰,480715,软新闻-娱乐圈,,,,,
2019年11月26日23点数据,共和国最小的创业者,225941,软新闻-休闲,,,,,
2020年01月27日23点数据,下一站是幸福,389781,软新闻-娱乐圈,,,,,
2020年05月23日23点数据,吴昕跳舞,3132894,软新闻-娱乐圈,,,,,
2020年05月06日23点数据,伊朗宣布1万旧币换1新币,530921,软新闻-娱乐圈,,,,,
2020年03月05日11点数据,方舱医院10岁男孩说太无聊,488362,软新闻-娱乐圈,,,,,
2020年10月15日23点数据,拜登副手哈里斯助手新冠检测阳性,550765,软新闻-娱乐圈,1,,,,
2020年12月14日23点数据,湖南卫视跨年阵容官宣,757285,软新闻-娱乐圈,,,,,
2020年02月22日23点数据,蓝天救援队队员许鹏,835053,软新闻-娱乐圈,,,,,
2019年12月24日23点数据,火鸡腿,395928,软新闻-休闲,,,,,
2020年04月15日23点数据,7名贡献突出医务人员认定高一级职称,271965,社会热点-社会热点,,,,,
2020年01月06日11点数据,景山 雪,115660,软新闻-休闲,,,,,
2020年11月06日23点数据,原来数学是有用的,424108,软新闻-休闲,,,,,
2020年09月21日11点数据,王俊凯瘦好多,416292,软新闻-娱乐圈,,,,,
2020年09月07日23点数据,亲爱的自己,458588,软新闻-娱乐圈,,,,,
2020年02月23日11点数据,梅西大四喜,265048,软新闻-娱乐圈,,,,,
2020年09月25日23点数据,中秋被饭局安排了,305477,软新闻-休闲,,,,,
2020年02月03日11点数据,北京地铁,770714,软新闻-休闲,,,,,
2020年03月20日23点数据,奥运圣火被大风吹灭,834624,社会热点-社会热点,,,,,
2020年12月24日23点数据,被指威胁游客的涉事导游自辩,464898,社会热点-社会热点,,,,,
2019年11月17日11点数据,奇葩说,104930,软新闻-娱乐圈,,,,,
2020年11月15日23点数据,建宁公主打韦小宝,387221,软新闻-娱乐圈,,,,,
2020年08月15日23点数据,陈小纭女子射箭冠军,4375026,软新闻-娱乐圈,,,,,
2019年12月09日11点数据,少年的你最终票房,948459,软新闻-娱乐圈,,,,,
2020年09月21日23点数据,74名中国留学生乘包机赴英复学,228227,国际关系（与中国相关，非美国）,,,,,
2020年02月17日23点数据,印度当前蝗灾已基本结束,1219221,国际新闻-国际新闻（与中国无关）,,,,,
2020年07月01日11点数据,疫情或使新西兰新增1万名留学生,280985,国际新闻-国际新闻（与中国无关）,1,,,,
2020年09月22日23点数据,越狱第六季确认回归,260405,软新闻-娱乐圈,,,,,
2020年07月29日23点数据,广州天气,157467,软新闻-休闲,,,,,
2020年03月19日23点数据,白岩松说今年大家最喜欢的数字是0,304932,软新闻-休闲,,,,,
2019年12月19日23点数据,冬天约女生出门的最佳理由,196130,软新闻-休闲,,,,,
2020年08月25日23点数据,七夕文案,419341,软新闻-休闲,,,,,
2020年03月06日23点数据,李冰冰方律师声明,691476,软新闻-娱乐圈,,,,,
2020年07月28日11点数据,2020国考补录7011人,575038,社会热点-社会热点,,,,,
2020年02月26日11点数据,2020胡润全球富豪榜,190779,社会热点-社会热点,,,,,
2020年12月22日23点数据,你好生活,311555,软新闻-娱乐圈,,,,,
2020年08月10日11点数据,美国一违反防疫规定聚会发生枪击,227946,国际新闻-国际新闻（与中国无关）,1,,,,
2020年10月28日23点数据,王子瑞被换下,180058,软新闻-娱乐圈,,,,,
2019年12月21日23点数据,卡姆 奇葩说,247083,软新闻-娱乐圈,,,,,
2020年01月04日11点数据,韩国将安三千AI摄像头预测犯罪,108349,国际新闻-国际新闻（与中国无关）,,,,,
2019年11月17日23点数据,李佳琦,627385,软新闻-娱乐圈,,,,,
2020年01月27日11点数据,浙江暂停省际道路客运,431214,社会热点-社会热点,,,,,
2020年01月25日23点数据,四川禁止群体性聚餐,494201,社会热点-社会热点,,,,,
2020年04月28日11点数据,吴磊 磕了这对CP,3125542,软新闻-娱乐圈,,,,,
2020年07月23日11点数据,NBA,286650,软新闻-娱乐圈,,,,,
2020年08月10日11点数据,世界最昂贵口罩,624938,社会热点-社会热点,,,,,
2020年04月07日23点数据,空气牛奶冻,244449,软新闻-休闲,,,,,
2020年03月22日11点数据,西安临潼一施工点坍塌致3人死亡,261201,社会热点-社会热点,,,,,
2020年11月12日23点数据,演员无实物表演有多绝,208797,软新闻-娱乐圈,,,,,
2020年03月28日11点数据,美股结束连涨,247714,社会热点-社会热点,,,,,
2020年09月01日23点数据,王霏霏告白姐姐vlog,202439,软新闻-娱乐圈,,,,,
2019年12月09日11点数据,遇见王沥川官博发声,3371030,软新闻-娱乐圈,,,,,
2020年11月18日23点数据,原来微信新表情来自五阿哥,1755665,软新闻-休闲,,,,,
2020年12月29日23点数据,北京明年向市场供应5000套集租房,526527,社会热点-社会热点,,,,,
2020年01月05日23点数据,天天向上,360682,软新闻-娱乐圈,,,,,
2020年06月15日11点数据,林湘人设,89969,软新闻-娱乐圈,,,,,
2020年10月09日23点数据,新西游记8,1328682,软新闻-娱乐圈,,,,,
2020年07月31日11点数据,当闺蜜让你帮她拍照,343194,软新闻-休闲,,,,,
2020年10月26日23点数据,新婚夫妻是门对门邻居,615155,软新闻-休闲,,,,,
2020年04月29日11点数据,至尊宝返场,375405,软新闻-娱乐圈,,,,,
2020年10月06日11点数据,黄山雨后云海圈粉2万游客,189425,软新闻-休闲,,,,,
2020年06月20日11点数据,外交部介绍中印冲突来龙去脉,645368,软新闻-娱乐圈,,,,,
2020年07月13日11点数据,哈尔滨医生拍彗星影像,429962,社会热点-社会热点,,,,,
2020年09月24日11点数据,美国防部被曝滥用10亿美元抗疫款,189065,国际新闻-国际新闻（与中国无关）,1,,,,
2020年02月07日23点数据,深圳所有小区封闭管理,2114296,社会热点-社会热点,,,,,
2020年11月11日23点数据,双11啥都没买是省了还是亏了,614535,软新闻-休闲,,,,,
2020年06月15日23点数据,浙江省考,203251,社会热点-社会热点,,,,,
2020年03月25日23点数据,瑞典环保少女自称极可能感染新冠,570987,国际新闻-国际新闻（与中国无关）,1,,,,
2020年09月06日23点数据,阚清子说朱一龙神秘,246819,软新闻-娱乐圈,,,,,
2019年12月08日11点数据,蔡紫李七月神仙组合,83410,软新闻-娱乐圈,,,,,
2020年07月23日23点数据,陈卓璇 清醒的人往往都孤独,2682390,软新闻-娱乐圈,,,,,
2020年10月26日23点数据,虐猫男子老家不断收到花圈寿衣,510045,社会热点-社会热点,,,,,
2020年11月18日23点数据,特朗普宣布解雇美国网络安全局局长,317070,国际新闻-国际新闻（与中国无关）,,,,,
2020年04月22日11点数据,SM站姿培训,748970,软新闻-休闲,,,,,
2020年10月09日11点数据,深圳地铁,257024,社会热点-社会热点,,,,,
2020年11月30日11点数据,良言写意开机,453097,软新闻-娱乐圈,,,,,
2020年08月28日23点数据,李子柒花海美食,463593,软新闻-娱乐圈,,,,,
2020年05月10日23点数据,环卫工翻10吨垃圾找回2万元,147577,软新闻-休闲,,,,,
2020年04月28日11点数据,杨迪评论王源还是你人气高,547632,软新闻-娱乐圈,,,,,
2020年06月13日23点数据,最有烟火气的美食,154979,软新闻-休闲,,,,,
2019年12月14日23点数据,被喜欢的人突然表白,359300,软新闻-娱乐圈,,,,,
2020年07月14日23点数据,当别人说你爱豆不好时,310241,软新闻-娱乐圈,,,,,
2020年04月21日11点数据,李荣浩新歌我爱你,368668,软新闻-娱乐圈,,,,,
2020年04月14日23点数据,美国多州称将自行决定何时重启经济,347958,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月15日11点数据,写下雨写出雨量大小,113974,社会热点-社会热点,,,,,
2020年02月02日23点数据,欧文受伤,224792,软新闻-娱乐圈,,,,,
2020年04月15日23点数据,外籍人员隔离费用由个人负担,298817,社会热点-趋势,,,,,
2020年12月17日11点数据,广西一出纳贪污挪用公款1.69亿元,568202,犯罪与审判,,,,,
2020年01月25日11点数据,上海民政局取消2月2日结婚登记,1886675,社会热点-社会热点,,,,,
2020年02月16日11点数据,四川自贡4.4级地震,207862,社会热点-社会热点,,,,,
2020年10月11日11点数据,何昶希发长文,128195,软新闻-娱乐圈,,,,,
2019年12月05日11点数据,昆明下雪,486681,软新闻-休闲,,,,,
2020年11月23日11点数据,改革开放以来中国7亿多人摆脱贫困,1259537,社会热点-趋势,,,,,
